Date : 2025-11-02 03:28:02
Directory : c:\Projects\CGS\aachi-wali-website\CGS-IITKGP\next\src
Total : 119 files,  13066 codes, 706 comments, 1651 blanks, all 15423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         30 |      7,645 |        659 |        725 |      9,029 |
| TypeScript     |         83 |      5,042 |         15 |        850 |      5,907 |
| PostCSS        |          2 |        330 |         32 |         72 |        434 |
| XML            |          4 |         49 |          0 |          4 |         53 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        119 |     13,066 |        706 |      1,651 |     15,423 |
| . (Files)                                                                                         |          1 |         46 |          0 |         13 |         59 |
| app                                                                                               |         65 |      8,808 |        691 |        975 |     10,474 |
| app (Files)                                                                                       |         10 |      1,448 |        126 |        160 |      1,734 |
| app\admin                                                                                         |          1 |        859 |          0 |         92 |        951 |
| app\api                                                                                           |         24 |        563 |          0 |        142 |        705 |
| app\api\auth                                                                                      |          7 |        148 |          0 |         32 |        180 |
| app\api\auth\change-password                                                                      |          1 |         12 |          0 |          4 |         16 |
| app\api\auth\google                                                                               |          2 |         60 |          0 |         11 |         71 |
| app\api\auth\google (Files)                                                                       |          1 |         20 |          0 |          6 |         26 |
| app\api\auth\google\callback                                                                      |          1 |         40 |          0 |          5 |         45 |
| app\api\auth\me                                                                                   |          1 |         12 |          0 |          5 |         17 |
| app\api\auth\sign-in                                                                              |          1 |         26 |          0 |          4 |         30 |
| app\api\auth\sign-out                                                                             |          1 |         26 |          0 |          4 |         30 |
| app\api\auth\sign-up                                                                              |          1 |         12 |          0 |          4 |         16 |
| app\api\blog                                                                                      |          3 |         82 |          0 |         21 |        103 |
| app\api\blog (Files)                                                                              |          1 |         30 |          0 |          9 |         39 |
| app\api\blog\[_id]                                                                                |          1 |         32 |          0 |          7 |         39 |
| app\api\blog\view                                                                                 |          1 |         20 |          0 |          5 |         25 |
| app\api\blog\view\[slug]                                                                          |          1 |         20 |          0 |          5 |         25 |
| app\api\featured                                                                                  |          2 |         44 |          0 |         12 |         56 |
| app\api\featured (Files)                                                                          |          1 |         26 |          0 |          7 |         33 |
| app\api\featured\[_id]                                                                            |          1 |         18 |          0 |          5 |         23 |
| app\api\media                                                                                     |          3 |         49 |          0 |         15 |         64 |
| app\api\media (Files)                                                                             |          1 |         19 |          0 |          6 |         25 |
| app\api\media\[id]                                                                                |          1 |         18 |          0 |          5 |         23 |
| app\api\media\sign                                                                                |          1 |         12 |          0 |          4 |         16 |
| app\api\misc                                                                                      |          1 |         24 |          0 |         10 |         34 |
| app\api\misc\health                                                                               |          1 |         24 |          0 |         10 |         34 |
| app\api\project                                                                                   |          2 |         60 |          0 |         14 |         74 |
| app\api\project (Files)                                                                           |          1 |         28 |          0 |          7 |         35 |
| app\api\project\[_id]                                                                             |          1 |         32 |          0 |          7 |         39 |
| app\api\team                                                                                      |          3 |         95 |          0 |         23 |        118 |
| app\api\team (Files)                                                                              |          1 |         26 |          0 |          7 |         33 |
| app\api\team\[_id]                                                                                |          2 |         69 |          0 |         16 |         85 |
| app\api\team\[_id] (Files)                                                                        |          1 |         47 |          0 |         10 |         57 |
| app\api\team\[_id]\members                                                                        |          1 |         22 |          0 |          6 |         28 |
| app\api\user                                                                                      |          3 |         61 |          0 |         15 |         76 |
| app\api\user (Files)                                                                              |          1 |         37 |          0 |          7 |         44 |
| app\api\user\assign                                                                               |          1 |         12 |          0 |          4 |         16 |
| app\api\user\team                                                                                 |          1 |         12 |          0 |          4 |         16 |
| app\assets                                                                                        |          4 |         49 |          0 |          4 |         53 |
| app\auth                                                                                          |          2 |        975 |         61 |         84 |      1,120 |
| app\auth\sign-in                                                                                  |          1 |        299 |         27 |         28 |        354 |
| app\auth\sign-up                                                                                  |          1 |        676 |         34 |         56 |        766 |
| app\blog                                                                                          |          4 |        662 |        272 |         95 |      1,029 |
| app\blog (Files)                                                                                  |          1 |        189 |          5 |         22 |        216 |
| app\blog\[slug]                                                                                   |          1 |        136 |        251 |         19 |        406 |
| app\blog\components                                                                               |          1 |        196 |          0 |         16 |        212 |
| app\blog\lib                                                                                      |          1 |        141 |         16 |         38 |        195 |
| app\components                                                                                    |          4 |        495 |          1 |         47 |        543 |
| app\context                                                                                       |          1 |         53 |          0 |         15 |         68 |
| app\dashboard                                                                                     |          1 |      1,776 |         68 |        127 |      1,971 |
| app\forbidden                                                                                     |          1 |         80 |          0 |          8 |         88 |
| app\forgot-password                                                                               |          1 |        279 |         16 |         26 |        321 |
| app\games                                                                                         |          2 |        510 |        125 |         54 |        689 |
| app\games (Files)                                                                                 |          1 |         66 |          0 |         10 |         76 |
| app\games\component                                                                               |          1 |        444 |        125 |         44 |        613 |
| app\projects                                                                                      |          2 |        572 |          4 |         54 |        630 |
| app\projects (Files)                                                                              |          1 |        119 |          0 |         15 |        134 |
| app\projects\components                                                                           |          1 |        453 |          4 |         39 |        496 |
| app\team                                                                                          |          2 |        247 |         18 |         31 |        296 |
